"V1","V2","V3"
0,0,0
0.04,0.04,0.04
0.08,0.08,0.08
0.12,0.12,0.12
0.16,0.16,0.16
0.2,0.2,0.2
0.24,0.24,0.24
0.28,0.28,0.28
0.32,0.32,0.32
0.36,0.36,0.36
0.4,0.4,0.4
0.44,0.44,0.44
0.48,0.48,0.48
0.52,0.52,0.52
0.56,0.56,0.56
0.6,0.6,0.6
0.64,0.64,0.64
0.68,0.68,0.68
0.72,0.72,0.72
0.76,0.76,0.76
0.8,0.8,0.8
0.84,0.84,0.84
0.88,0.88,0.88
0.92,0.92,0.92
0.96,0.96,0.96
0,0,0
0,0.04,27.80985
0,0.08,49.61936
0,0.12,83.08067
0,0.16,116.6632
0,0.2,130.414
0,0.24,150.7206
0,0.28,220.1871
0,0.32,156.1536
0,0.36,148.6416
0,0.4,203.7845
0,0.44,206.0386
0,0.48,107.1618
0,0.52,68.36975
0,0.56,45.3359
0,0.6,49.96142
0,0.64,21.89279
0,0.68,17.02552
0,0.72,11.74317
0,0.76,14.75226
0,0.8,13.6671
0,0.84,5.677561
0,0.88,3.31234
0,0.92,1.156517
0,0.96,-0.147662
0.04,0,1
0.04,0.04,27.71966
0.04,0.08,48.55022
0.04,0.12,65.21374
0.04,0.16,95.27666
0.04,0.2,116.9964
0.04,0.24,133.9056
0.04,0.28,152.3412
0.04,0.32,151.934
0.04,0.36,160.1139
0.04,0.4,179.5327
0.04,0.44,147.6184
0.04,0.48,170.3943
0.04,0.52,121.8194
0.04,0.56,52.58537
0.04,0.6,33.08871
0.04,0.64,38.40972
0.04,0.68,44.24843
0.04,0.72,69.5786
0.04,0.76,4.019351
0.04,0.8,3.050024
0.04,0.84,3.039719
0.04,0.88,2.996142
0.04,0.92,2.967954
0.04,0.96,1.999594
0.08,0,2
0.08,0.04,30.4267
0.08,0.08,33.47752
0.08,0.12,44.80953
0.08,0.16,62.47495
0.08,0.2,77.43523
0.08,0.24,104.2153
0.08,0.28,102.7393
0.08,0.32,137.0004
0.08,0.36,186.0706
0.08,0.4,219.3173
0.08,0.44,181.7615
0.08,0.48,120.9154
0.08,0.52,143.1835
0.08,0.56,82.40501
0.08,0.6,48.47132
0.08,0.64,74.71461
0.08,0.68,60.0909
0.08,0.72,7.073525
0.08,0.76,6.089851
0.08,0.8,6.53745
